criterion,max_depth,max_features,min_samples_leaf,min_samples_split,random_state,splitter,score
gini,,sqrt,1,1,128,best,0.6467878047631773
gini,,sqrt,1,1,128,random,0.6479015495656248
gini,,sqrt,1,2,128,best,0.6467878047631773
gini,,sqrt,1,2,128,random,0.6479015495656248
gini,,sqrt,1,4,128,best,0.6481798023974839
gini,,sqrt,1,4,128,random,0.64884114186188
gini,,sqrt,1,8,128,best,0.6546648529184153
gini,,sqrt,1,8,128,random,0.6555822780296257
gini,,sqrt,1,16,128,best,0.6568534507511307
gini,,sqrt,1,16,128,random,0.6584152614539303
gini,,sqrt,1,32,128,best,0.6630311463411932
gini,,sqrt,1,32,128,random,0.664470480304074
gini,,sqrt,1,64,128,best,0.6654505984766336
gini,,sqrt,1,64,128,random,0.6655050297894228
gini,,sqrt,1,128,128,best,0.6617875902204889
gini,,sqrt,1,128,128,random,0.6629509095977094
gini,,sqrt,1,256,128,best,0.6598991528839909
gini,,sqrt,1,256,128,random,0.6581931465822392
gini,,sqrt,2,1,128,best,0.6502020932612594
gini,,sqrt,2,1,128,random,0.6523056462346107
gini,,sqrt,2,2,128,best,0.6502020932612594
gini,,sqrt,2,2,128,random,0.6523056462346107
gini,,sqrt,2,4,128,best,0.6502020932612594
gini,,sqrt,2,4,128,random,0.6523056462346107
gini,,sqrt,2,8,128,best,0.6551642178384589
gini,,sqrt,2,8,128,random,0.6557043396612167
gini,,sqrt,2,16,128,best,0.6608137202022949
gini,,sqrt,2,16,128,random,0.6578413702150985
gini,,sqrt,2,32,128,best,0.6623788943589167
gini,,sqrt,2,32,128,random,0.6638460070072286
gini,,sqrt,2,64,128,best,0.6659325265291053
gini,,sqrt,2,64,128,random,0.665006905497804
gini,,sqrt,2,128,128,best,0.6658136405764153
gini,,sqrt,2,128,128,random,0.6654635701842266
gini,,sqrt,2,256,128,best,0.6560406637160118
gini,,sqrt,2,256,128,random,0.656584741569117
gini,,sqrt,4,1,128,best,0.6585074641848779
gini,,sqrt,4,1,128,random,0.6618309121460658
gini,,sqrt,4,2,128,best,0.6585074641848779
gini,,sqrt,4,2,128,random,0.6618309121460658
gini,,sqrt,4,4,128,best,0.6585074641848779
gini,,sqrt,4,4,128,random,0.6618309121460658
gini,,sqrt,4,8,128,best,0.6585074641848779
gini,,sqrt,4,8,128,random,0.6618309121460658
gini,,sqrt,4,16,128,best,0.6606904705461126
gini,,sqrt,4,16,128,random,0.661314460347179
gini,,sqrt,4,32,128,best,0.6604649310684905
gini,,sqrt,4,32,128,random,0.6629902859226375
gini,,sqrt,4,64,128,best,0.6637098676011685
gini,,sqrt,4,64,128,random,0.6658117418515294
gini,,sqrt,4,128,128,best,0.6637339711682864
gini,,sqrt,4,128,128,random,0.6618758510699493
